epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.7093,2.38045,4.86285,1.44354,0.00255,0.45536,0.0038,0.00192,1.98099,4.16218,1.12379,0.00013336,0.00013336,0.00013336
2,88.642,2.17077,3.38424,1.17787,0.00503,0.85714,0.07717,0.02536,1.93679,3.82356,1.01411,0.000280584,0.000280584,0.000280584
3,131.317,2.1125,2.84258,1.21329,0.00548,0.90476,0.01302,0.00525,1.68576,3.82542,1.03292,0.000424838,0.000424838,0.000424838
4,175.743,2.08211,2.72112,1.22046,0.00498,0.81845,0.01211,0.00467,1.73964,3.7056,1.04736,0.000566122,0.000566122,0.000566122
5,217.65,2.01945,2.32136,1.17088,0.00396,0.6994,0.00637,0.00263,1.79042,3.69139,1.11664,0.000704434,0.000704434,0.000704434
6,258.961,2.1243,2.21633,1.26101,0.00556,0.92857,0.01171,0.00399,1.94906,3.62461,1.15124,0.000839776,0.000839776,0.000839776
7,299.656,2.02343,2.23761,1.1762,0.00563,0.92857,0.15231,0.07929,1.8349,3.39341,1.09015,0.000972148,0.000972148,0.000972148
8,339.85,1.99972,2.12745,1.22169,0.00524,0.88095,0.32424,0.14366,1.93763,3.19816,1.23649,0.00110155,0.00110155,0.00110155
9,383.088,2.00829,2.07658,1.25673,0.00579,0.95238,0.39405,0.15617,1.9457,3.09164,1.28303,0.00122798,0.00122798,0.00122798
10,423.814,2.02246,2.0788,1.19133,0.16095,0.65476,0.3927,0.1792,1.76292,2.79931,1.17847,0.00135144,0.00135144,0.00135144
11,467.952,1.93872,1.92323,1.16398,0.67008,0.37202,0.56151,0.26789,1.85776,2.38334,1.19258,0.00147193,0.00147193,0.00147193
12,507.618,1.96281,2.04908,1.18523,0.47666,0.29931,0.38984,0.20913,1.9198,2.40855,1.09395,0.00148546,0.00148546,0.00148546
13,543.939,1.8896,1.86234,1.12885,0.54303,0.60998,0.59982,0.3178,1.85999,2.17807,1.12921,0.00146896,0.00146896,0.00146896
14,580.334,1.93222,1.8698,1.18964,0.50676,0.44316,0.5546,0.22511,2.0463,2.23465,1.14152,0.00145246,0.00145246,0.00145246
15,616.181,1.87125,1.81497,1.16494,0.66505,0.56423,0.65511,0.25512,1.97966,1.68703,1.15051,0.00143595,0.00143595,0.00143595
16,652.569,1.81086,1.75891,1.14737,0.63365,0.55437,0.56693,0.25412,2.09595,1.75435,1.32779,0.00141945,0.00141945,0.00141945
17,689.856,1.88349,1.74407,1.16386,0.65504,0.64583,0.64706,0.25189,2.18209,1.59052,1.35638,0.00140295,0.00140295,0.00140295
18,725.085,1.90175,1.73745,1.1899,0.7206,0.59635,0.63225,0.27334,2.01141,1.50123,1.33976,0.00138644,0.00138644,0.00138644
19,760.703,1.93058,1.60908,1.21228,0.60022,0.67857,0.61305,0.22442,2.09671,1.71352,1.31287,0.00136994,0.00136994,0.00136994
20,804.431,1.90469,1.58138,1.15521,0.73247,0.55952,0.60009,0.22182,1.99786,1.74185,1.23678,0.00135344,0.00135344,0.00135344
21,847.272,1.9457,1.6528,1.15936,0.61403,0.64583,0.64317,0.24114,1.9829,1.75929,1.21334,0.00133693,0.00133693,0.00133693
22,884.629,1.7632,1.55064,1.12877,0.70508,0.84603,0.76873,0.33882,1.97208,1.49957,1.24123,0.00132043,0.00132043,0.00132043
23,923.825,1.78832,1.56239,1.11955,0.8081,0.62897,0.75128,0.33858,1.93495,1.50886,1.18555,0.00130393,0.00130393,0.00130393
24,964.877,1.77287,1.5161,1.17574,0.67093,0.7293,0.72698,0.32415,2.00693,1.46853,1.33912,0.00128742,0.00128742,0.00128742
25,1003.37,1.68475,1.43169,1.15615,0.58084,0.60661,0.58212,0.26484,1.94664,1.86461,1.30836,0.00127092,0.00127092,0.00127092
26,1044.12,1.74877,1.40007,1.11093,0.46765,0.70833,0.53054,0.26915,1.83101,1.75598,1.24213,0.00125442,0.00125442,0.00125442
27,1081.96,1.75731,1.44265,1.12048,0.4862,0.88497,0.64851,0.29906,1.78861,1.67563,1.19185,0.00123791,0.00123791,0.00123791
28,1120.52,1.82007,1.37975,1.11981,0.67697,0.7716,0.76872,0.33436,1.85232,1.36916,1.20085,0.00122141,0.00122141,0.00122141
29,1159.23,1.63525,1.28907,1.10318,0.61817,0.84226,0.67418,0.28857,2.00215,1.41615,1.27149,0.00120491,0.00120491,0.00120491
30,1198.04,1.68881,1.35244,1.12977,0.7692,0.80357,0.8026,0.37462,1.93721,1.27669,1.30056,0.0011884,0.0011884,0.0011884
31,1237.24,1.74487,1.3262,1.10273,0.6977,0.67857,0.69309,0.28668,2.05038,1.36646,1.35339,0.0011719,0.0011719,0.0011719
32,1277.02,1.71101,1.33814,1.1006,0.54649,0.80357,0.6668,0.31829,2.1063,1.41041,1.31899,0.0011554,0.0011554,0.0011554
33,1315.89,1.70283,1.31739,1.06884,0.63743,0.69441,0.70583,0.27761,2.13636,1.46496,1.36949,0.00113889,0.00113889,0.00113889
34,1355.59,1.69222,1.33316,1.10337,0.67589,0.74107,0.69277,0.32868,1.91001,1.39235,1.2048,0.00112239,0.00112239,0.00112239
35,1396.02,1.75325,1.36858,1.11958,0.64389,0.77976,0.69107,0.32904,1.86208,1.42632,1.14581,0.00110589,0.00110589,0.00110589
36,1435.68,1.67598,1.27008,1.0681,0.76854,0.71905,0.78945,0.32497,1.8761,1.35788,1.12583,0.00108938,0.00108938,0.00108938
37,1485.49,1.61012,1.25671,1.05816,0.6232,0.84161,0.74321,0.33642,1.9497,1.3562,1.17003,0.00107288,0.00107288,0.00107288
38,1527.57,1.63554,1.23143,1.05515,0.6788,0.73946,0.77662,0.3186,1.94046,1.32308,1.19576,0.00105638,0.00105638,0.00105638
39,1565.56,1.65172,1.1956,1.08256,0.78489,0.73165,0.80301,0.36836,1.91706,1.235,1.23549,0.00103987,0.00103987,0.00103987
40,1605.88,1.6955,1.27809,1.09853,0.7195,0.76598,0.73595,0.35976,1.8997,1.30227,1.2294,0.00102337,0.00102337,0.00102337
41,1649.74,1.68336,1.28722,1.07335,0.70801,0.85754,0.74449,0.32591,1.87916,1.25547,1.25209,0.00100687,0.00100687,0.00100687
