epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.707,2.22764,5.35085,1.49486,0.004,0.66667,0.00416,0.00165,1.99257,4.31793,1.38592,0.00013336,0.00013336,0.00013336
2,286.094,2.08833,3.66403,1.28065,0.005,0.85714,0.08318,0.02992,1.85099,4.12101,1.2182,0.000280584,0.000280584,0.000280584
3,396.46,2.0223,3.34436,1.23598,0.00502,0.85714,0.08962,0.03347,1.78911,4.11479,1.25699,0.000424838,0.000424838,0.000424838
4,498.504,2.04235,3.05118,1.29493,0.00469,0.80952,0.00794,0.00304,1.82774,4.14735,1.27231,0.000566122,0.000566122,0.000566122
5,600.171,1.99194,2.63418,1.28541,0.00479,0.79464,0.00598,0.00221,1.99478,4.0549,1.37189,0.000704434,0.000704434,0.000704434
6,691.895,1.99508,2.61702,1.28684,0.00378,0.6756,0.03669,0.02144,1.97849,3.9637,1.4756,0.000839776,0.000839776,0.000839776
7,830.876,1.94673,2.63802,1.2135,0.00554,0.90476,0.04467,0.01613,2.16531,3.74119,1.4853,0.000972148,0.000972148,0.000972148
8,991.885,1.87392,2.5339,1.2739,0.53252,0.125,0.14292,0.03657,2.17729,3.88792,1.56215,0.00110155,0.00110155,0.00110155
9,1197.36,1.91585,2.52359,1.2647,0.51029,0.0625,0.22367,0.08649,2.22568,3.58315,1.63378,0.00122798,0.00122798,0.00122798
10,1398.22,1.95542,2.34773,1.26546,0.50985,0.25,0.15416,0.05316,2.28864,3.79595,1.54903,0.00135144,0.00135144,0.00135144
11,1626.88,1.86868,2.25917,1.25305,0.43931,0.6131,0.4922,0.16964,2.05441,2.51151,1.35005,0.00147193,0.00147193,0.00147193
12,1838.98,1.95998,2.35229,1.28669,0.49029,0.5744,0.49047,0.18707,1.9896,2.29845,1.31969,0.00148546,0.00148546,0.00148546
13,1975.29,1.87894,2.17703,1.20935,0.4703,0.6131,0.52432,0.20379,1.90389,2.21774,1.4039,0.00146896,0.00146896,0.00146896
14,2151.34,1.83821,1.99537,1.24623,0.42028,0.71726,0.50555,0.24951,1.96125,1.95959,1.34646,0.00145246,0.00145246,0.00145246
15,2321.36,1.85946,2.03544,1.27696,0.4998,0.5506,0.60854,0.18546,2.2446,2.04222,1.48801,0.00143595,0.00143595,0.00143595
16,2458.29,1.85965,2.00485,1.23277,0.54724,0.6335,0.59433,0.22407,1.94803,1.77454,1.37026,0.00141945,0.00141945,0.00141945
17,2574.82,1.8089,1.97762,1.16822,0.49293,0.72321,0.62255,0.22929,2.1784,1.89275,1.36805,0.00140295,0.00140295,0.00140295
18,2692.95,1.80376,1.93631,1.22576,0.59703,0.68452,0.68614,0.28669,2.09709,1.83872,1.38155,0.00138644,0.00138644,0.00138644
19,2819.14,1.7288,1.73905,1.18631,0.83283,0.62202,0.74704,0.28134,2.08328,1.57037,1.45438,0.00136994,0.00136994,0.00136994
20,2950.55,1.80377,1.73108,1.20503,0.50169,0.77976,0.609,0.24961,2.12903,1.75893,1.44913,0.00135344,0.00135344,0.00135344
21,3063.06,1.75209,1.69649,1.17232,0.69402,0.63814,0.70447,0.23604,2.2067,1.57685,1.52805,0.00133693,0.00133693,0.00133693
22,3175.89,1.70025,1.69707,1.20002,0.62658,0.77599,0.73269,0.27294,2.06496,1.55479,1.4786,0.00132043,0.00132043,0.00132043
23,3314.66,1.70129,1.69609,1.17256,0.63106,0.86607,0.7446,0.29715,2.02023,1.5062,1.49111,0.00130393,0.00130393,0.00130393
24,3435.29,1.7968,1.62329,1.22912,0.66192,0.81845,0.71695,0.29646,1.94982,1.51541,1.4224,0.00128742,0.00128742,0.00128742
25,3570.22,1.71185,1.57322,1.20038,0.7161,0.6131,0.64126,0.27827,1.88782,1.6864,1.41984,0.00127092,0.00127092,0.00127092
26,3702.55,1.6929,1.52892,1.16997,0.65817,0.64188,0.63692,0.26615,1.89116,1.63,1.43699,0.00125442,0.00125442,0.00125442
27,3843.48,1.70687,1.49553,1.16223,0.53568,0.72506,0.60027,0.23987,1.97856,1.6114,1.42048,0.00123791,0.00123791,0.00123791
28,3968.28,1.66889,1.49019,1.14578,0.49158,0.75595,0.63449,0.29408,1.91769,1.51001,1.37414,0.00122141,0.00122141,0.00122141
29,4089.11,1.63734,1.39309,1.15518,0.60997,0.67705,0.60376,0.2385,2.26326,1.65841,1.49068,0.00120491,0.00120491,0.00120491
30,4215.27,1.60224,1.45618,1.1337,0.54788,0.61543,0.47555,0.15581,2.29605,1.82248,1.46745,0.0011884,0.0011884,0.0011884
31,4337.67,1.70378,1.40194,1.14895,0.61272,0.57135,0.57194,0.25349,1.99768,1.61015,1.44034,0.0011719,0.0011719,0.0011719
32,4468.54,1.65547,1.49694,1.15785,0.76093,0.57461,0.68198,0.27972,2.09278,1.59075,1.40194,0.0011554,0.0011554,0.0011554
33,4583.72,1.6411,1.39452,1.1574,0.71084,0.5119,0.64476,0.28687,2.07716,1.49878,1.41652,0.00113889,0.00113889,0.00113889
34,4699.35,1.60217,1.35512,1.15741,0.54693,0.73418,0.63135,0.26886,2.06501,1.63437,1.41693,0.00112239,0.00112239,0.00112239
35,4806.34,1.59456,1.32733,1.15391,0.54756,0.64583,0.6502,0.29333,2.07298,1.46376,1.40242,0.00110589,0.00110589,0.00110589
36,4901.82,1.58464,1.26558,1.1189,0.6082,0.67418,0.69614,0.3001,1.99848,1.43944,1.36487,0.00108938,0.00108938,0.00108938
37,4992.74,1.57989,1.266,1.09948,0.81788,0.63878,0.76078,0.29151,1.97962,1.44167,1.35909,0.00107288,0.00107288,0.00107288
38,5083.82,1.5974,1.2416,1.08657,0.63694,0.78915,0.66721,0.23799,2.10475,1.55341,1.36717,0.00105638,0.00105638,0.00105638
39,5173.55,1.62624,1.2385,1.09957,0.63935,0.66059,0.70279,0.29633,2.0723,1.33716,1.45273,0.00103987,0.00103987,0.00103987
40,5259.84,1.61845,1.25731,1.14679,0.65437,0.74591,0.76456,0.31001,2.03122,1.43852,1.47758,0.00102337,0.00102337,0.00102337
41,5349.41,1.64439,1.25928,1.13611,0.5909,0.75822,0.74924,0.32389,2.02207,1.4329,1.481,0.00100687,0.00100687,0.00100687
42,5440.07,1.63036,1.28885,1.13234,0.68156,0.75595,0.76635,0.35399,2.01768,1.35181,1.48195,0.000990365,0.000990365,0.000990365
43,5530.33,1.53159,1.13361,1.09428,0.73272,0.80357,0.79864,0.29472,2.15138,1.34593,1.561,0.000973861,0.000973861,0.000973861
44,5628.29,1.55225,1.16368,1.09128,0.87471,0.81327,0.90731,0.36732,2.03704,1.20678,1.44484,0.000957358,0.000957358,0.000957358
45,5716.6,1.57018,1.17516,1.10086,0.70192,0.84741,0.82067,0.35617,1.9636,1.20955,1.37982,0.000940855,0.000940855,0.000940855
46,5805.94,1.47544,1.13398,1.0741,0.70071,0.71902,0.76948,0.29687,2.06715,1.44442,1.3926,0.000924352,0.000924352,0.000924352
47,5916.51,1.48386,1.09176,1.08292,0.74281,0.71063,0.79932,0.34298,2.00537,1.29934,1.37854,0.000907848,0.000907848,0.000907848
48,6010.18,1.54597,1.12634,1.103,0.52077,0.89261,0.66695,0.2689,2.12748,1.44044,1.42508,0.000891345,0.000891345,0.000891345
49,6109.89,1.45349,1.09585,1.08194,0.61802,0.73214,0.67785,0.27676,2.00844,1.38819,1.39676,0.000874842,0.000874842,0.000874842
50,6201.82,1.49455,1.05044,1.05314,0.57878,0.77083,0.65306,0.27264,2.07807,1.4486,1.43147,0.000858338,0.000858338,0.000858338
51,6292.72,1.5025,1.05696,1.09611,0.59739,0.71726,0.67247,0.27109,1.99286,1.36229,1.38759,0.000841835,0.000841835,0.000841835
52,6386.94,1.49232,1.02544,1.0882,0.69105,0.80912,0.77942,0.32983,1.97215,1.21069,1.37069,0.000825332,0.000825332,0.000825332
53,6477.56,1.43052,1.06614,1.07602,0.70604,0.7507,0.74164,0.3463,1.93182,1.18096,1.32397,0.000808828,0.000808828,0.000808828
54,6561.45,1.46785,1.03853,1.05744,0.77587,0.74606,0.76476,0.32872,1.91905,1.20191,1.34604,0.000792325,0.000792325,0.000792325
55,6655.48,1.43413,1.01012,1.06692,0.74721,0.75595,0.7966,0.37025,2.00648,1.28498,1.38342,0.000775822,0.000775822,0.000775822
56,6755.65,1.34842,0.97655,1.03236,0.70096,0.88988,0.8632,0.36556,1.93592,1.19301,1.41594,0.000759318,0.000759318,0.000759318
57,6850.59,1.39857,0.98327,1.04131,0.78912,0.80357,0.84432,0.36003,1.97961,1.19129,1.40876,0.000742815,0.000742815,0.000742815
